Temperature,Humidity,Timestamp
23.70,28.80,2023-11-30 20:06:43
23.70,28.80,2023-11-30 20:11:43
23.80,29.70,2023-11-30 20:16:43
23.80,29.70,2023-11-30 20:21:43
23.80,29.60,2023-11-30 20:26:43
23.80,29.60,2023-11-30 20:31:43
23.80,29.50,2023-11-30 20:36:43
23.80,29.50,2023-11-30 20:41:43
23.80,29.50,2023-11-30 20:46:43
23.80,29.50,2023-11-30 20:51:43
23.80,29.40,2023-11-30 20:56:43
23.80,29.40,2023-11-30 21:01:43
23.80,29.30,2023-11-30 21:06:43
23.80,29.30,2023-11-30 21:11:43
23.80,29.20,2023-11-30 21:16:43
23.80,29.20,2023-11-30 21:21:43
23.80,29.20,2023-11-30 21:26:43
23.80,29.20,2023-11-30 21:31:43
23.80,29.20,2023-11-30 21:36:43
23.80,29.20,2023-11-30 21:41:43
23.80,29.20,2023-11-30 21:46:43
23.80,29.20,2023-11-30 21:51:43
23.80,29.20,2023-11-30 21:56:43
23.80,29.20,2023-11-30 22:01:43
23.80,29.10,2023-11-30 22:06:43
23.80,29.10,2023-11-30 22:11:43
23.80,29.00,2023-11-30 22:16:43
23.80,29.00,2023-11-30 22:21:43
23.80,28.90,2023-11-30 22:26:43
23.80,28.90,2023-11-30 22:31:43
23.80,28.80,2023-11-30 22:36:43
23.80,28.80,2023-11-30 22:41:43
23.80,28.70,2023-11-30 22:46:43
23.80,28.70,2023-11-30 22:51:43
23.80,28.70,2023-11-30 22:56:43
23.80,28.70,2023-11-30 23:01:43
23.80,28.70,2023-11-30 23:06:43
23.80,28.70,2023-11-30 23:11:43
23.80,28.70,2023-11-30 23:16:43
23.80,28.70,2023-11-30 23:21:43
23.80,28.60,2023-11-30 23:26:43
23.80,28.60,2023-11-30 23:31:43
23.80,28.60,2023-11-30 23:36:43
23.80,28.60,2023-11-30 23:41:43
23.80,28.50,2023-11-30 23:46:43
23.80,28.50,2023-11-30 23:51:43
23.80,28.50,2023-11-30 23:56:43
23.80,28.50,2023-12-01 00:01:43
23.80,28.50,2023-12-01 00:06:43
23.80,28.50,2023-12-01 00:11:43
23.80,28.50,2023-12-01 00:16:43
23.80,28.50,2023-12-01 00:21:43
23.80,28.50,2023-12-01 00:26:43
23.80,28.50,2023-12-01 00:31:43
23.80,28.50,2023-12-01 00:36:43
23.80,28.50,2023-12-01 00:41:43
23.80,28.50,2023-12-01 00:46:43
23.80,28.50,2023-12-01 00:51:43
23.80,28.50,2023-12-01 00:56:43
23.80,28.50,2023-12-01 01:01:43
23.80,28.50,2023-12-01 01:06:43
23.80,28.50,2023-12-01 01:11:43
23.80,28.50,2023-12-01 01:16:43
23.80,28.50,2023-12-01 01:21:43
23.80,28.50,2023-12-01 01:26:43
23.80,28.50,2023-12-01 01:31:43
23.80,28.60,2023-12-01 01:36:43
23.80,28.60,2023-12-01 01:41:43
23.80,28.70,2023-12-01 01:46:43
23.80,28.70,2023-12-01 01:51:43
23.80,28.70,2023-12-01 01:56:43
23.80,28.70,2023-12-01 02:01:43
23.80,28.80,2023-12-01 02:06:43
23.80,28.80,2023-12-01 02:11:43
23.80,28.90,2023-12-01 02:16:43
23.80,28.90,2023-12-01 02:21:43
23.80,28.90,2023-12-01 02:26:43
23.80,28.90,2023-12-01 02:31:43
23.80,29.20,2023-12-01 02:36:43
23.80,29.20,2023-12-01 02:41:43
23.90,29.30,2023-12-01 02:46:43
23.90,29.30,2023-12-01 02:51:43
23.90,29.40,2023-12-01 02:56:43
23.90,29.40,2023-12-01 03:01:43
23.90,29.30,2023-12-01 03:06:43
23.90,29.30,2023-12-01 03:11:43
23.90,29.20,2023-12-01 03:16:43
23.90,29.20,2023-12-01 03:21:43
23.90,29.20,2023-12-01 03:26:43
23.90,29.20,2023-12-01 03:31:43
23.90,29.20,2023-12-01 03:36:43
23.90,29.20,2023-12-01 03:41:43
23.90,29.10,2023-12-01 03:46:43
23.90,29.10,2023-12-01 03:51:43
23.90,29.00,2023-12-01 03:56:43
23.90,29.00,2023-12-01 04:01:43
23.90,29.00,2023-12-01 04:06:43
23.90,29.00,2023-12-01 04:11:43
23.90,28.90,2023-12-01 04:16:43
23.90,28.90,2023-12-01 04:21:43
23.90,28.90,2023-12-01 04:26:43
23.90,28.90,2023-12-01 04:31:43
23.90,29.00,2023-12-01 04:36:43
23.90,29.00,2023-12-01 04:41:43
23.90,29.00,2023-12-01 04:46:44
23.90,29.00,2023-12-01 04:51:44
23.90,29.00,2023-12-01 04:56:44
23.90,29.00,2023-12-01 05:01:44
23.90,29.00,2023-12-01 05:06:44
23.90,29.00,2023-12-01 05:11:44
23.90,29.00,2023-12-01 05:16:44
23.90,29.00,2023-12-01 05:21:44
23.90,29.20,2023-12-01 05:26:44
23.90,29.20,2023-12-01 05:31:44
23.90,29.20,2023-12-01 05:36:44
23.90,29.20,2023-12-01 05:41:44
23.90,29.20,2023-12-01 05:46:44
23.90,29.20,2023-12-01 05:51:44
23.90,29.20,2023-12-01 05:56:44
23.90,29.20,2023-12-01 06:01:44
23.90,29.10,2023-12-01 06:06:44
23.90,29.10,2023-12-01 06:11:44
23.90,29.10,2023-12-01 06:16:44
23.90,29.10,2023-12-01 06:21:44
23.90,29.00,2023-12-01 06:26:44
23.90,29.00,2023-12-01 06:31:44
23.90,29.00,2023-12-01 06:36:44
23.90,29.00,2023-12-01 06:41:44
23.90,29.00,2023-12-01 06:46:44
23.90,29.00,2023-12-01 06:51:44
23.90,28.90,2023-12-01 06:56:44
23.90,28.90,2023-12-01 07:01:44
23.90,29.00,2023-12-01 07:06:44
23.90,29.00,2023-12-01 07:11:44
23.90,29.10,2023-12-01 07:16:44
23.90,29.10,2023-12-01 07:21:44
23.90,29.20,2023-12-01 07:26:44
23.90,29.20,2023-12-01 07:31:44
23.90,29.20,2023-12-01 07:36:44
23.90,29.20,2023-12-01 07:41:44
23.90,29.10,2023-12-01 07:46:44
23.90,29.10,2023-12-01 07:51:44
23.90,29.00,2023-12-01 07:56:44
23.90,29.00,2023-12-01 08:01:44
23.90,29.00,2023-12-01 08:06:44
23.90,29.00,2023-12-01 08:11:44
23.90,28.90,2023-12-01 08:16:44
23.90,28.90,2023-12-01 08:21:44
23.90,28.90,2023-12-01 08:26:44
23.90,28.90,2023-12-01 08:31:44
23.90,28.80,2023-12-01 08:36:44
23.90,28.80,2023-12-01 08:41:44
23.90,28.80,2023-12-01 08:46:44
23.90,28.80,2023-12-01 08:51:44
23.90,28.80,2023-12-01 08:56:44
23.90,28.80,2023-12-01 09:01:44
23.90,28.70,2023-12-01 09:06:44
23.90,28.70,2023-12-01 09:11:44
23.90,28.70,2023-12-01 09:16:44
23.90,28.70,2023-12-01 09:21:44
23.90,28.70,2023-12-01 09:26:44
23.90,28.70,2023-12-01 09:31:44
23.90,28.70,2023-12-01 09:36:44
23.90,28.70,2023-12-01 09:41:44
23.90,28.80,2023-12-01 09:46:44
23.90,28.80,2023-12-01 09:51:44
